,Div,HomeTeam,AwayTeam,FTHG,FTAG,FTR,B365H,B365D,B365A,HomeTeamMatchDay,AwayTeamMatchDay,HomeTeamGoalsScoredLast5,AwayTeamGoalsScoredLast5,HomeTeamGoalsConcededLast5,AwayTeamGoalsConcededLast5,HomeTeamUnBeatenStreak,AwayTeamUnBeatenStreak,HomeTeamPoints,AwayTeamPoints,HomeTeamLostLast,AwayTeamLostLast,HomeTeamGameNumber,AwayTeamGameNumber,ScoredAtHomeTeam5,ScoredAwayTeam5,HomeTeamAtHomeTeamPoints,AwayTeamFromHomeTeamPoints
16388,I1,Inter,Lecce,1.0,0.0,H,1.17,6.5,19.0,4,4,10.0,5.0,5.0,6.666666666666667,3,2,11.666666666666666,6.666666666666667,1.0,1.0,2,2,10.0,0.0,15.0,15.0
16389,I1,Empoli,Milan,1.0,4.0,A,3.8,3.3,2.05,14,14,4.0,6.0,6.0,6.0,0,3,5.0,10.0,0.0,1.0,8,7,0.0,6.0,2.0,12.0
16390,E0,Tottenham,Wigan,9.0,1.0,H,1.44,4.33,8.0,13,13,6.0,6.0,7.0,9.0,1,1,7.0,5.0,1.0,1.0,7,7,10.0,5.0,9.0,8.0
16391,F1,Toulouse,Lille,0.0,0.0,D,2.5,2.75,2.87,22,23,6.0,8.0,6.0,2.0,1,1,7.0,10.0,1.0,1.0,11,11,7.0,6.0,10.0,10.0
16392,F1,Strasbourg,Paris SG,1.0,2.0,A,2.5,3.0,3.0,13,13,6.0,5.0,3.0,9.0,3,0,8.0,4.0,1.0,0.0,7,6,6.0,4.0,8.0,3.0
16393,N1,AZ Alkmaar,Heerenveen,3.0,1.0,H,1.8,3.5,4.0,34,34,7.0,6.0,7.0,6.0,0,2,7.0,6.0,0.0,1.0,17,17,11.0,6.0,10.0,13.0
16394,F1,Caen,Rennes,1.0,1.0,D,2.75,3.0,2.75,17,17,3.0,8.0,4.0,2.0,0,14,7.0,13.0,0.0,1.0,9,8,7.0,4.0,8.0,11.0
16395,D1,Hamburg,Hertha,0.0,3.0,A,2.6,3.4,2.6,20,20,3.0,8.0,13.0,7.0,0,0,0.0,9.0,0.0,0.0,10,10,5.0,9.0,3.0,7.0
16396,E0,Liverpool,West Ham,4.0,0.0,H,1.44,4.33,7.5,28,28,9.0,3.0,4.0,6.0,4,0,10.0,7.0,1.0,0.0,14,14,13.0,4.0,11.0,11.0
16397,F1,Nancy,Valenciennes,1.0,1.0,D,2.15,3.3,3.4,38,38,5.0,7.0,7.0,5.0,0,5,5.0,7.0,0.0,1.0,19,19,9.0,5.0,7.0,7.0
16398,SP1,Betis,Valladolid,1.0,1.0,D,2.25,3.25,3.2,36,36,7.0,5.0,4.0,5.0,1,0,7.0,7.0,1.0,0.0,18,18,8.0,4.0,6.0,6.0
16399,D1,Dortmund,Mainz,1.0,2.0,A,1.3,5.5,10.0,33,33,8.0,6.0,9.0,3.0,2,1,7.0,8.0,1.0,1.0,17,17,12.0,3.0,13.0,8.0
